level,step,checklist,degree,category
4,4,"Athlete performs a double leg depth drop from the height of a bench (hold landing in a quarter squat position)  then perform one horiziontal jump  - 2 x 6 reps with good control,
Athlete performs 6 double leg horiziontal jumps: Men>14.5m / Women >11.5m (athlete must land and hold position before taking of again),
Plank Holds: 2 minutes 45 seconds,
50 Press Up's under 1:20 min/sec (good form),
athlete performs lung walks over 2 x 30m (good form),
12-minute Cooper Run: Female 2000 - 2100m / Male 2500 - 2800m,",1,2
5,5,"Athlete performs a double leg depth drop from the height of a bench (hold landing in a quarter squat position) then perform two horiziontal jumps  - 2 x 6 reps with good control,
Athlete performs 6 double leg horiziontal jumps: Men>15m / Women >12m (athlete must land and hold position before taking of again),
Plank Holds: 3 minutes,
50 Press Up's under 1:10 min/sec (good form),
athlete performs lung walks over 2 x 30m with dumbell (good form) - weight to be advised,
12-minute Cooper Run: Female > 2100 / Male > 2800m,",1,2
1,1,"3kg Medball toss (forward - allowed to use momentum) Men: 9m / Women 6m (minimum distance),
3kg Medball toss (backward allowed to use momentum) Men: 8m / Women 5m (minimum distance),
3kg Medball toss (lateral left allowed to use momentum) Men: 7m / Women 4m (minimum distance),
3kg Medball toss (lateral right allowed to use momentum) Men: 7m / Women 4m (minimum distance),",1,3
2,2,"3kg Medball toss (forward allowed to use momentum) Men: >9.5m / Women >6.5m (minimum distance),
3kg Medball toss (backward allowed to use momentum) Men: >8.5m / Women >5.5m (minimum distance),
3kg Medball toss (lateral left allowed to use momentum) Men: >7.5m / Women >4.5m (minimum distance),
3kg Medball toss (lateral right allowed to use momentum) Men: >7.5m / Women >4.5m (minimum distance),",1,3
3,3,"3kg Medball toss (forward allowed to use momentum) Men: 10m / Women 7m (minimum distance),
3kg Medball toss (backward allowed to use momentum) Men: 9m / Women 6m (minimum distance),
3kg Medball toss (lateral left allowed to use momentum) Men: 8m / Women 5m (minimum distance),
3kg Medball toss (lateral right allowed to use momentum) Men: 8m / Women 5m (minimum distance),",1,3
4,4,"3kg Medball toss (forward allowed to use momentum) Men: >10.5m / Women >7.5m  (minimum distance),
3kg Medball toss (backward allowed to use momentum) Men: >9.5m / Women >6.5m (minimum distance),
3kg Medball toss (lateral left allowed to use momentum) Men: >8.5m / Women >5.5m (minimum distance),
3kg Medball toss (lateral right allowed to use momentum) Men: >8.5m / Women >5.5m (minimum distance),",1,3
5,5,"3kg Medball toss (forward allowed to use momentum) Men: 11m / Women 8m  (minimum distance),
3kg Medball toss (backward allowed to use momentum) Men: 10m / Women 7m (minimum distance),
3kg Medball toss (lateral left allowed to use momentum) Men: 9m / Women 6m (minimum distance),
3kg Medball toss (lateral right allowed to use momentum) Men: 9m / Women 6m (minimum distance),",1,3
1,1,"Technical - Bounce drill - distance at 2 x 20 meters (good form),
Technical - A-skip  drill - distance at 2 x 20 meters (good form),
Technical - Scissors drill - distance at 2 x 20 meters (good form),
Technical - High Knees drill - distance at 2 x 20 meters (good form),
Technical - Lightbulb  drill - distance at 2 x 20 meters (good form),",1,1
2,2,"Technical - Bounce drill (with a plastic pole or wicket held above their head) distance 2 x 30m,
Technical - A-skip (with a plastic pole or wicket held above their head) distance 2 x 30m,
Technical - Scissors drill (with a plastic pole or wicket held above their head) distance 2 x 30m,
Technical - High Knees drill (with a plastic pole or wicket held above their head) distance 2 x 30m,
Technical - Lightbulb drill (with a plastic pole or wicket held above their head) distance 2 x 30m,",1,1
3,3,"Technical - Bounce drill - distance at 2 x 30 meters (good form),
Technical - A-skip  drill - distance at 2 x 30 meters (good form),
Technical - Scissors drill - distance at 2 x 30 meters (good form),
Technical - High Knees drill - distance at 2 x 30 meters (good form),
Technical - Lightbulb drill - distance at 2 x 30 meters (good form),",1,1
4,4,"Technical - Bounce drill (with a pole or wicket heal above their head) distance 2 x 30m into 20m bounce orientated running,
Technical - A-skip drill (with a pole or wicket heal above their head) distance 2 x 30m into 20m bounce orientated running,
Technical - Scissors drill (with a pole or wicket heal above their head) distance 2 x 30m into 20m bounce orientated running,
Technical - High Knees drill (with a pole or wicket heal above their head) distance 2 x 30m into 20m bounce orientated running,
Technical - Lightbulb drill (with a pole or wicket heal above their head) distance 2 x 30m into 20m bounce orientated running,",1,1
5,5,"A-skip split into high knees - use of both arms - A- skip for 15m - high knees for 15m - repeat twice - (good form/technique to be demonstrated - no leaning backwards,
Scissors split into high knees - use of both arms - Scissors for 15m - high knees for 15m - repeat twice - (good form/technique to be demonstrated - no leaning backwards -maintain sound and speed of movment when moving from scissors to high knees,
High knees split into running- use of both arms - High knees for 15m - run off for 15m - repeat twice - (good form/technique to be demonstrated - no leaning backwards - no drop of hip height when moving from high knees into running,
Light bulbs - alternating leg - verticle displacment - (introduce use of both arm - 2 x 20m +(good form/technique / co-ordination to be demonstrated - no leaning backwards),
Alternating bounds for distance over high wickets + distance placed at 3 and a half feet apart or (cm) + total of 9  high wickets + repeat 3 times - sufficient rest will be given,",1,1
1,1,"60m range - men: 8.6 - 8.3 seconds - women: 8.9 - 8.8 - competition or training time performance,
100m range - men: 11.9 - 11.8 seconds - women & U13/U15 boys & girls range: 13.8 - 13.5 - competition or training time performance,
200m range - men:  24.1 - 23.8 seconds - women: 27.0 - 26.7 seconds -  (U13/U15 boys & girls range - 28 - 27.7 seconds) competition or training time performance,
300m range - men: 52.2 - 51.90 seconds - women: 66 - 63 seconds - competition or training time performance,
400m range - men: 70 - 67 seconds - women: 85 - 82 seconds - competition or training time performance,",1,4
2,2,"60m range - men: 8.3 - 8.0 seconds - women: 8.8 - 8.5 - competition or training time performance,
100m range - men: 11.8 - 11.7 seconds - women: 13.5 - 13.2 - competition or training time performance,
200m range - men:   23.8 - 23.5 seconds - women: 26.7 - 26.4 seconds - (U13/U15 boy & girls range - 27.7 - 27.4 seconds) competition or training time performance,
300m range - men: 51.90 - 51.6 seconds - women: 63 - 60 seconds - competition or training time performance,
400m range - men: 67 - 64 seconds - women: 82 - 79 seconds - competition or training time performance,",1,4
3,3,"60m range - men: 8.0 - 7.7 seconds - women: 8.5 - 8.2 - competition or training time performance,
100m range - men: 11.7 - 11.6 seconds - women: 13.2 - 12.9 - competition or training time performance,
200m range - men: 23.8 - 23.5 seconds - women: 26.4 - 26.1 seconds  (U13/U15 boys & girls range - 27.4, - 27.1 seconds) - competition or training time performance,
300m range - men: 51.6 - 51.3 seconds - women: 60 - 57 seconds - competition or training time performance,
400m range - men: 64 - 61 seconds - women: 79 - 76 seconds - competition or training time performance,",1,4
4,4,"60m  (boys & girls range)  8.9 - 8.7 seconds competition or training time performance,
100m range - boys: 14.2 - 13.9 seconds - girls: 14.2 - 13.9 seconds - competition or training time performance,
150m  (boys & girls range)  21.3 - 21.0 seconds competition or training time performance,
200m range (boys & girls range) sub 29,3 - 29,0 seconds competition or training time performance,
Bleep test - level 12+,",1,4
5,5,"60m range - men: 7.4 - 7.1 seconds - women: 8.2 - 8.1 - competition or training time performance,
100m range - men: 11.5 - 11.4 seconds - women: 12.6 - 12.3 seconds - competition or training time performance,
200m range - men:  23.8 - 23.5 seconds - women: 25.8 - 25.5 seconds  (U13/U15 - 26.8 - 26.5 seconds boys & girls range) - competition or training time performance,
300m range - men: 51 - 50.80 seconds - women: 54 - 51 seconds - competition or training time performance,
400m range - men: 58 - 55 seconds - women: 73 - 70 seconds - competition or training time performance,",1,4
1,1,"Athlete will log their thoughts after each session within the training week and include points of improvments for the next training block Athlete will provide a conclusion on this phase to our DCPA coaches at the end of each 4 week block (phase 1)  Are athletes repeating old habbits or maintaing new habbits,
Athlete will monitor their eating and log their moods at the end of the evening (just before bed) and include points of improvments going forward Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block (phase 1) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log total hours of sleep and monitor their moods at the end of the evening (just before bed) and include points of improvments going forward  Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block (phase 1) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log their thoughts pre - during and post competition Athlete will provide a conclusion on this phase with a DCPA coach at the end of each competition Two competitions,
Athlete can explain when he/she/they used the 4FIT approach in their training group(accountability),",2,0
2,2,"Athlete will log their thoughts after each session within the training week and include points of improvments for the next training block Athlete will provide a conclusion on this phase to our DCPA coaches at the end of each 4 week block (phase 2) Are athletes repeating old habbits or maintaing new habbits,
Athlete will monitor their eating and log their moods at the end of the evening (just before bed) and include points of improvments going forward Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block (phase 2) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log total hours of sleep and monitor their moods at the end of the evening (just before bed) and include points of improvments going forward Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block (phase 2) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log their thoughts pre - during and post competition Athlete will provide a conclusion on this phase with a DCPA coach at the end of each competition Four competitions,
Athlete can explain when he/she/they used the 4FIT approach at home (accountability),",2,0
3,3,"Athlete will log their thoughts after each session within the training week and include points of improvments for the next training block Athlete will provide a conclusion on this phase to our DCPA coaches at the end of each 4 week block (phase 3)  Are athletes repeating old habbits or maintaing new habbits,
Athlete will monitor their eating and log their moods at the end of the evening (just before bed) and include points of improvments going forward Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block (phase 3) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log total hours of sleep and monitor their moods at the end of the evening (just before bed) and include points of improvments going forward Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block (phase 3) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log their thoughts pre - during and post competition  Athlete will provide a conclusion on this phase with a DCPA coach at the end of each competition Six competitions,
Athlete can explain when he/she/they used the 4FIT approach at their play of education (school  college  uni  sitxth form) (accountability)",2,0
4,4,"Athlete will log their thoughts after each session within the training week and include points of improvments for the next training block Athlete will provide a conclusion on this phase to our DCPA coaches at the end of each 4 week block (phase 4)  Are athletes repeating old habbits or maintaing new habbits,
Athlete will monitor their eating and log their moods at the end of the evening (just before bed) and include points of improvments going forward Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block (phase 4) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log total hours of sleep and monitor their moods at the end of the evening (just before bed) and include points of improvments going forward Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block (phase 4) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log their thoughts pre - during and post competition Athlete will provide a conclusion on this phase with a DCPA coach at the end of each competition Eight competitions,
Athlete can explain when he/she/they used the 4FIT approach when on their own (accountability),",2,0
